Title,Local Call Number,LC Call Number,Physical Availability
"Avant-garde graphics 1918-1934 : from the Merrill C. Berman Collection / [compiled by] Lutz Becker, Richard Hollis",,NC998.45.A9 A93 2004 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC998.45.A9A93 2004; (1 items out of 1 available)
"Artists, advertising, and the borders of art / Michele H. Bogart",,NC998.5.A1 B63 1995 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC998.5.A1B63 1995; (1 items out of 1 available)
"50s : all-American ads / edited by Jim Heimann ; with an introduction by Willy Wilkerson ; [German translation, Stefan Barmann ; French translation, Simone Manceau ; Spanish translation, Gemma Deza Guil ; Japanese translation, Mari Kiyomiya]",NC998.5.A1 A64 2002  and others,NC998.5.A1 A64 2002  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC998.5.A1F58 2002; (1 items out of 1 available)
Hybrid imagery the fusion of technology and graphic design / April Greiman,NC998.5.A1G75 1990 ,NC998.5.A1 G75 1990 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC998.5.A1G75 1990; (1 items out of 1 available)
"American Modernism : graphic design, 1920 to 1960 / R. Roger Remington with Lisa Bodenstedt",NC998.5.A1 R45 2003  and others,NC998.5.A1 R45 2003  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC998.5.A1R395 2003; (1 items out of 1 available)
30s : all-American ads / edited by Jim Heimann ; with an introduction by Steven Heller ; German translation: Harald Hellmann ; French translation: Philippe Safavi ; Spanish translation: Gemma Deza Guil ; Japanese translation: Maiko Masujima,NC998.5.A1 T55 2003  and others,NC998.5.A1 A62 2003  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC998.5.A1T55 2003; (0 items out of 1 available)
"The origins of graphic design in America, 1870-1920 / Ellen Mazur Thomson",,NC998.5.A1 T56 1997 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC998.5.A1T56 1997; (1 items out of 1 available)
Cuba style : graphics from the golden age of design / Vicki Gold Levi and Steven Heller,,NC998.6.C9 L48 2002 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC998.6.C9L48 2002; (1 items out of 1 available)
Street graphics Egypt / Barry Dawson,NC998.6.E3 D39 2003 ,NC998.6.E4 D38 2003  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC998.6.E3D39 2003; (1 items out of 1 available)
"French modern : art deco graphic design / Steven Heller, Louise Fili",,NC998.6.F7 H45 1997 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC998.6.F7H45 1997; (1 items out of 1 available)
German modern : graphic design from Wilhelm to Weimar / Steven Heller and Louise Fili,,NC998.6.G4 H46 1998 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC998.6.G4H46 1998; (1 items out of 1 available)
Street graphics India / Barry Dawson,NC998.6.I6 D38 1999 ,NC998.6.I6 D38 1999 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC998.6.I6D38 1999; (1 items out of 1 available)
Street graphics Tokyo / [Barry Dawson],NC998.6.J3 D38 2002 ,NC998.6.J3 D38 2002 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC998.6.J32T657 2002; (1 items out of 1 available)
"Sensacional! Mexican street graphics / by Juan Carlos Mena with Óscar Reyes ; essays by David Byrne  ... [and others]. ; [translation, Michel Suderman]",,NC998.6.M6 M4613 2002 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC998.6.M6M4613 2002; (0 items out of 1 available)
And so the gods created fashion / by Sweden Graphics ; [Nille Svensson],NC998.6.S8 S88 2008 ,NC998.6.S8 S88 2008 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC998.6.S8S88 2008; (0 items out of 1 available)
The unchanging arts; new forms for the traditional functions of art in society,,NC998 .G6 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC998.G6; (1 items out of 1 available)
Design literacy : understanding graphic design / Steven Heller and Karen Pomeroy,741.6 H367d ,NC998 .H45 1997 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC998.H45 1997; (1 items out of 1 available)
Design literacy (continued) : understanding graphic design / Steven Heller,,NC998 .H45 1999 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC998.H45 1999; (1 items out of 1 available)
"Graphic design time line : a century of design milestones / Steve Heller, Elinor Pettit",,NC998 .H455 2000 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC998.H455 2000; (1 items out of 1 available)
A history of visual communication. Geschichte der visuellen Kommunikation. Histoire de la communication visuelle. From the dawn of barter in the ancient world to the visualized conception of today ... . (English version: D[ennis] Q. Stephenson. Version francaise: Edy Aubry.),NC998.M8 1971a ,NC998 .M8 1971a ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC998.M8 1971a; (1 items out of 1 available)
"Contemporary graphic artists : a biographical, bibliographical, and critical guide to current illustrators, animators, cartoonists, designers, and other graphic artists / Maurice Horn, editor",NC999.2.C66 1986 ,NC999.2 .C66 1986 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC999.2.C66 1986; (1 items out of 1 available)
It is beautiful-- then gone / Martin Venezky,,NC999.4.A68 A4 2005 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC999.4.A68A4 2005; (1 items out of 1 available)
The left-handed designer / Seymour Chwast. Edited by Steven Heller,NC999.4.C48A4 1985 ,NC999.4.C48 A4 1985 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC999.4.C48A4 1985; (1 items out of 1 available)
Something from nothing / April Greiman,NC999.4.G74 G746 2001 ,NC999.4.G74 G746 2001 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC999.4.G74G746 2001; (1 items out of 1 available)
Wordless diagrams / Nigel Holmes,,NC999.4.H64 A4 2005 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC999.4.H64A4 2005; (0 items out of 1 available)
"Unimark International : the design of business and the business of design / Jan Conradi ; foreword by Massimo Vignelli ; designer, archivist, Kevin Rau",,NC999.4.U55 C66 2010 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC999.4.U55 C66 2010; (1 items out of 1 available)
"Michael Engelmann / Michael Engelmann ; mit einem Essay von Anita Kühnel ; Museum für Gestaltung Zürich, Staatliche Museen zu Berlin Kunstbibliothek ; [Übersetzung, Michael Robinson]",NC999.6.G4 E54 2004 ,NC999.6.G4 E54 2004 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC999.6.G4E54 2004; (1 items out of 1 available)
Advertising and the artist : Ashley Havinden / Michael Havinden ... [and others],NC999.6.G7 H38 2003 ,NC999.6.G7 H38 2003 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NC999.6.G7H38 2003; (1 items out of 1 available)
Meaning and expression: toward a sociology of art,ND     .D413x  and others,ND .D413x ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND .D413x; (1 items out of 1 available)
Painters / Paul Binski,,ND 140 .B56 1991  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND 140 .B56 1991; (1 items out of 1 available)
"Vistas de España : American views of art and life in Spain, 1860-1914 / M. Elizabeth Boone",,ND210 .B723 2007 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND 210 .B723 2007; (1 items out of 1 available)
"American painting of the nineteenth century : realism, idealism, and the American experience / Barbara Novak",,ND210 .N68 2007 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND 210 .N68 2007; (1 items out of 1 available)
Raphael Soyer and the search for modern Jewish art / Samantha Baskind,,ND237.S636 B37 2004 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND 237 .S636 B37 2004; (2 items out of 2 available)
"Beyond madness : the art of Ralph Blakelock, 1847-1919 / Norman A. Geske ; foreword by Peter H. Hassrick",,ND237.B6 A4 2007 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND 237.B6 A4 2007; (1 items out of 1 available)
Frederic Edwin Church : romantic landscapes and seascapes / essays by Gerald L. Carr,,ND237.C52 A4 2007  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND 237.C52 A4 2007; (1 items out of 1 available)
John Steuart Curry's Hoover and the flood : painting modern history / Charles C. Eldredge ; foreword by Kevin Grogan,,ND237.C88 A68 2007 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND 237.C88 A68 2007; (1 items out of 1 available)
Portrait : the life of Thomas Eakins / William S. McFeely,,ND237.E15 M26 2007 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND 237.E15 M26 2007; (1 items out of 1 available)
"Helen Frankenthaler : painting history, writing painting / Alison Rowley",,ND237.F675 R69 2007 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND 237.F675 R69 2007; (1 items out of 1 available)
Joseph Goldberg : jeweled earth / essay by Nathan Kernan ; interview by Regina Hackett,,ND237.G585 A4 2007 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND 237.G585 A4 2007; (1 items out of 1 available)
Gaylen Hansen : three decades of paintings / Keith Wells ; with a contribution by Gary Larson,,ND237.H294 A4 2007 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND 237.H294 A4 2007; (1 items out of 1 available)
Julian Onderdonk : American impressionist / William Rudolph ; with contributions by A. Kate Sheerin and Chloe Barnett,,ND237.O55 A4 2008 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND 237.O55 A4 2008; (1 items out of 1 available)
Ad Reinhardt / Michael Corris,,ND237.R316 C67 2008 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND 237.R316 C67 2008; (1 items out of 1 available)
Seeing Rothko / edited by Glenn Phillips and Thomas Crow,,ND237.R725 S42 2005 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND 237.R725 S42 2005; (1 items out of 1 available)
"Schoenberg, Kandinsky, and the Blue Rider / edited by Esther da Costa Meyer, Fred Wasserman ; with essays by Magdalena Dabrowski ... [and others]",,ND195 .S34 2003 ,"Physical version at KSL 1st Floor Kulas Music Media; Kelvin Smith Library; CD4459; (1 items out of 1 available)
Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND195.S34 2003; (1 items out of 1 available)"
"On tender hooks : the art of Isabel Samaras / essay and orchestration by Colin Berry ; essay by Justin Giarla ; fiction by Lucy Blue ; interview with Isabel Samaras, Shag, and the Pizz",,ND237.S2635 A4 2009 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND 237.S2635 A4 2009; (1 items out of 1 available)
The extreme of the middle : writings of Jack Tworkov / edited by Mira Schor,,ND237.T88 A35 2009 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND 237.T88 A35 2009; (1 items out of 1 available)
The paintings in the Cnidian Lesche at Delphi and their historical context / by Robert B. Kebric,ND110 .K42 1983  and others,ND110 .K42 1983 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND110.K42 1983; (1 items out of 1 available)
Greek and Etruscan painting / Translated by Janet Sondheimer,ND110.S61 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND110.S61; (1 items out of 1 available)
The Amasis Painter and his world : vase-painting in sixth-century B.C. Athens / Dietrich von Bothmer ; with an introduction by Alan L. Boegehold,,ND115.A55 A4 1985 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND115.A55A4 1985; (1 items out of 1 available)
The Calumny of Apelles : a study of the humanist tradition / David Cast,,ND115.A6 A64 1981 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND115.A6A64 1981; (1 items out of 1 available)
The Brygos painter,,ND115 .B794 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND115.B794; (1 items out of 1 available)
Polygnotos and vase painting in classical Athens / Susan B. Matheson,,ND115.P8 M38 1995 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND115.P8M38 1995; (1 items out of 1 available)
Roman and Palaeochristian painting / Gérald Gassiot-Talabot ; translated by Anthony Rhodes,ND120 .G3151 ,ND120 .G3151 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND120.G3151; (1 items out of 1 available)
Out of time : Philip Guston's return to figuration and the crisis in the humanities / by Robert Slifkin,ND127.G8 S55 2007a ,ND127.G8 S55 2007a ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND127.G8S55 2007a; (1 items out of 1 available)
Myths and more on Etruscan stone sarcophagi / L.B. van der Meer,,ND130.E8 M37 2004 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND130.E8M37 2004; (1 items out of 1 available)
"Etruscan tomb paintings, their subjects and significance, by Frederik Poulsen ... translator by Ingeborg Andersen",ND130.E8P6 ,ND130.E8 P6 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND130.E8P6; (1 items out of 1 available)
"Painting in Europe, 800 to 1200 [by] C. R. Dodwell",,ND140 .D63 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND140.D63; (1 items out of 1 available)
Painting in Britain: the Middle Ages,ND140.R535 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND140.R535; (1 items out of 1 available)
Byzantine wall paintings of Crete / Ioannis Spatharakis,,ND142 .S73 1999 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND142 .S73 1999; (3 items out of 3 available)
Transfigurations : studies in the dynamics of Byzantine iconography / Anthony Cutler,ND142.C87 ,ND142 .C87 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND142.C87; (1 items out of 1 available)
Byzantine and Russian painting. Translated by Janet Sondheimer,,ND142 .P3613 1968 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND142.P3613 1968; (1 items out of 1 available)
Byzantine painting: the last phase,,ND142 .R52 1968b ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND142.R52 1968b; (1 items out of 1 available)
"Paintings from midwestern university collections, seventeenth--twentieth centuries. An exhibition organized by the Committee on Institutional Cooperation and the member universities",ND160.P3 ,ND160 .P3 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND160 .P3; (1 items out of 1 available)
"History of classic painting / published under the supervision of Germain Bazin ; translated from the French by Rosamund Frost ; [edited by Andre Gloeckner] ; text, research, biographies, bibliographies by Marc Loge ... [and others]",ND160 .B354 1951  and others,ND160 .B354 1951 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND160.B354 1951; (1 items out of 1 available)
"A concise history of painting, from Giotto to Cézanne",ND160.L4 1962 ,ND160 .L4 1962 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND160.L4 1962; (1 items out of 1 available)
Changing the signs : the fifteenth-century breakthrough / Albert Cook,ND170.C66 1985 ,ND170 .C66 1985 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND170.C66 1985; (1 items out of 1 available)
The painter's choice : problems in the interpretation of Renaissance art / Millard Meiss,ND170.M4 1976 ,ND170 .M4 1976 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND170.M4 1976; (1 items out of 1 available)
Rococo to Revolution : major trends in eighteenth-century painting,ND180 .L4 1966 ,ND180 .L4 1966 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND180.L4 1966; (1 items out of 1 available)
Rococo to revolution : major trends in eighteenth-century painting / Michael Levey,ND180 .L4 1977  and others,ND180 .L4 1977 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND180.L4 1977; (1 items out of 1 available)
"Image and imagination. Oil sketches of the Baroque. Collection Kurt Rossacher. [Catalog of an exhibition at] Los Angeles County Museum of Art, Oct. 1-Oct. 30, 1968; Nelson Gallery, Atkins Museum, Kansas City, Mo., Nov. 21-Dec. 31, 1968; the Toledo Museum of Art, Jan. 26-Mar. 2, 1969; Museum of Art, Rhode Island School of Design, Mar. 19-Apr. 20, 1969; the Minneapolis Institute of Arts, May 7-June 8, 1969",,ND182.B3 R6 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND182.B3R6; (1 items out of 1 available)
"Caravaggio and his followers, by Richard E. Spear",,ND182.B3 S65 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND182.B3S65; (1 items out of 1 available)
"History of modern painting. Published under the supervision of Germain Bazin. Translated from the French by Rosamund Frost. [Edited by Andre Gloeckner] Text, research, illustrations, biographies, bibliography by Gaston Diehl [and others]",,ND190 .B264 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND190.B264; (1 items out of 1 available)
The Clark brothers collect : impressionist and early modern paintings / Michael Conforti ... [et al.] ; with additional contributions by Daniel Cohen-McFall ... [et al.],,ND190 .C53 2006 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND190.C53 2006; (1 items out of 1 available)
"From realism to symbolism: Whistler and his world. [Catalog of] an exhibition organized by the Dept. of Art History and Archaeology of Columbia University in the city of New York in cooperation with the Philadelphia Museum of Art [and held at the] Wildenstein, New York, March 4 to April 3 [and] Philadelphia Museum of Art, April 15 to May 23, 197",ND190 .C658  and others,ND190 .C658 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND190.C658; (1 items out of 1 available)
Before photography : painting and the invention of photography / Peter Galassi,ND190 .G36  and others,N6450 .G23  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND190.G36 1981; (1 items out of 1 available)
"The genesis of modernism: Seurat, Gauguin, van Gogh, and French symbolism in the 1880's",ND190 .L683 ,N25 .F5 no.11  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND190.L683; (1 items out of 1 available)
Nineteenth-century painting / [Translated by Angus Malcolm],,ND190 .P363 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND190.P363; (1 items out of 1 available)
A picture is a picture; a look at modern painting,,ND190 .R56 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND190.R56; (1 items out of 1 available)
"Body, place, and self in nineteenth-century painting / Susan Sidlauskas",,ND190 .S475 2000 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND190.S475 2000; (1 items out of 1 available)
French impressionists from the Davies Bequest,,ND192.I4 C3 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND192.I4C3; (1 items out of 1 available)
Painting methods of the Impressionists / by Bernard Dunstan,ND192.I4D86 1976 ,ND192.I4 D86 1976 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND192.I4D86 1976; (1 items out of 1 available)
Impressionism /  James H. Rubin,ND192.I4 R83 1999 ,ND192.I4 R83 1999 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND192.I4R83 1999; (1 items out of 1 available)
High art : Charles Baudelaire and the origins of modernist painting / David Carrier,,ND192.M63 C37 1996 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND192.M63C37 1996; (1 items out of 1 available)
Modern painting and the northern romantic tradition : Friedrich to Rothko / Robert Rosenblum,,ND192 .R6R67 1975 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND192.R6R67 1975; (1 items out of 1 available)
The essence of art : Victorian advice on the practice of painting / edited by Craig Harrison,,ND192.V5 E88 1999 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND192.V5E88 1999; (1 items out of 1 available)
An invitation to see; 125 paintings from the Museum of Modern Art. Introd. and comments by Helen M. Franc,708.1N4893In ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND195 .N4; (1 items out of 1 available)
"As painting : division and displacement / [edited and organized by] Philip Armstrong, Laura Lisbon, and Stephen Melville",,ND195 .A788 2001 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND195.A788 2001; (1 items out of 1 available)
"Bad painting : good art / published by Museum Moderner Kunst Stiftung Ludwig Wien ; Eva Badura-Triska, Susanne Neuburger",,ND195 .B25 2008 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND195.B25 2008; (0 items out of 1 available)
"Trends in twentieth century art; a loan exhibition from the San Francisco Museum of Art, January 6 to February 1, 1970. Organized and selected by Ala Story",,ND195 .C3 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND195.C3; (1 items out of 1 available)
Modern art movements [by] Trewin Copplestone,ND195 .C6  and others,ND195 .C6 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND195.C6; (1 items out of 1 available)
Ecrits sur les peintres / Robert Desnos ; préface de Marie-Claire Dumas,ND195.D4 1984 ,ND195 .D4 1984 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND195.D4 1984; (1 items out of 1 available)
"Le peinture aux XIXe et XXe siècles du réalisme à nos jours, par Henri Focillon. Ouvrage illustré de 210 gravures",ND195.F6 ,ND195 .F6 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND195.F6; (1 items out of 1 available)
"Contemporary art : the march of art from Cézanne until now, by Rosamund Frost. Photo research and biographies by Aimée Crane",,ND195 .F7 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND195.F7; (1 items out of 1 available)
Painting in the twentieth century. [Translated by Ralph Manheim],ND195 .H323 1961  and others,ND195 .H323 1961 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND195.H323 1961; (1 items out of 1 available)
Painting in the twentieth century,ND195.H323 1965 ,ND195 .H323 1965 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND195.H323 1965; (2 items out of 2 available)
Dokumente zum Verständnis der modernen Malerei,,ND195 .H43 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND195.H43; (1 items out of 1 available)
The new painting. [Translated from the German by Gerald Onn],,ND195 .K8413 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND195.K8413; (1 items out of 1 available)
The rebirth of painting in the late twentieth century / Donald Kuspit,,ND195 .K87 2000 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND195.K87 2000; (1 items out of 1 available)
Twentieth century painting,HD195 .M8 ,HD195 .M8 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND195.M8; (1 items out of 1 available)
Modern art in the making,ND195 .M9  and others,ND195 .M9 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND195.M9; (1 items out of 1 available)
A concise history of modern painting,,ND195 .R4 1966 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND195.R4 1966; (1 items out of 1 available)
A concise history of modern painting,ND195.R4 1968b ,ND195 .R4 1968b ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND195.R4 1968b; (1 items out of 1 available)
A concise history of modern painting,,ND195 .R4 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND195.R4; (2 items out of 2 available)
"After Picasso, by James Thrall Soby",,ND195 .S6 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND195.S6; (1 items out of 1 available)
Contemporary painters,ND195.S63 1948a ,ND195 .S63 1948a ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND195.S63 1948a; (1 items out of 1 available)
Contemporary painters,ND195.S63 ,ND195 .S63 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND195.S63; (1 items out of 1 available)
Plastic redirections in 20th century painting,ND195.S8 ,ND195 .S8 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND195.S8; (1 items out of 1 available)
The painted word / Tom Wolfe,ND195.W64 1975 ,ND195 .W64 1975 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND195.W64 1975; (1 items out of 1 available)
"The painting factory : abstraction after Warhol / Tauba Auerbach ... [and others] ; organized by Jeffrey Deitch ; [editor, Nikki Columbus]",,ND196.A2 P35 2012 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND196.A2 P35 2012; (1 items out of 1 available)
Mondrian : on the humanity of abstract painting / Meyer Schapiro,,ND196.A2 S33 1995 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND196.A2 S33 1995; (1 items out of 1 available)
"Abstract painting : fifty years of accomplishment, from Kandinsky to the present / Michel Seuphor [pseud ; translated from the French by Haakon Chevalier]",,ND195 .D45  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND196.A2 S4; (1 items out of 1 available)
Die Informellen : von Pollock bis Schumacher = The informal artists : from Pollock to Schumacher / herausgegeben von Susanne Anna ; mit Originalbeiträgen von Georg-W. Költzsch ... [and others],,ND196.A25 I53 1999 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND196.A25I53 1999; (1 items out of 1 available)
"Cubism: a history and an analysis, 1907-1914",,ND196.C8 G6 1968 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND196.C8G6 1968; (1 items out of 1 available)
La peinture cubiste,ND196.C8P33 ,ND196.C8 P33 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND196.C8P33; (1 items out of 1 available)
Figure and abstraction in contemporary painting / Ronald Paulson,ND196.F5P38 1990 ,ND196.F5 P38 1990 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND196.F5 P38 1990; (1 items out of 1 available)
The exile's return : toward a redefinition of painting for the post-modern era / Thomas McEvilley,ND196.P66M34 1993 ,ND196.P66 M34 1993 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND196.P66M34 1993; (1 items out of 1 available)
Realism in 20th century painting / Brendan Prendeville,N6494.R4 P74 2000 ,N6494.R4 P74 2000 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND196.R4P74 2000; (1 items out of 1 available)
"Zen painting and calligraphy; an exhibition of works of art lent by temples, private collectors, and public and private museums in Japan, organized in collaboration with the Agency for Cultural Affairs of the Japanese government [by] Jan Fontein and Money L. Hickman",ND197.F6 1970 ,ND197 .F6 1970 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND197.F6 1970; (1 items out of 1 available)
The Language of sculpture / William Tucker,,NB197 .T82 1985 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND197.T82 1985; (1 items out of 1 available)
"A New World : masterpieces of American painting 1760-1910 / Theodore E. Stebbins, Carol Troyen & Trevor J. Fairbrother, with essays by Pierre Rosenberg & H. Barbara Weinberg",ND205 .S73 1983  and others,ND205 .S73 1983 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND205 .S73 1983; (1 items out of 1 available)
American painting / edited by Francesca Castria Marchetti,ND205 .A44 2002  and others,ND205 .P5813 2003  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND205.A44 2002; (1 items out of 1 available)
"American painting, history and interpretation",ND205 .B29 1950 ,ND205 .B29 1950 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND205.B29 1950; (1 items out of 1 available)
"American painting, history, and interpretation",ND205.B29 ,ND205 .B29 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND205.B29; (2 items out of 2 available)
"American paintings in the Museum of Fine Arts, Boston",,ND205 .B58 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND205.B58; (2 items out of 2 available)
An American view : masterpieces from the Brooklyn Museum / Teresa A. Carbone,,ND205 .B667 2006 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND205.B667 2006; (1 items out of 1 available)
