Title,Local Call Number,LC Call Number,Physical Availability
Creating with paper : basic forms and variations,NB1270.P3J58 ,NB1270.P3 J58 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1270.P3 J58; (1 items out of 1 available)
Papier und Form. Fotos von Eberhard Troeger,NB1270.P3L6 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1270.P3L6; (1 items out of 1 available)
Simple wire sculpture,NB1270.W5G36 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1270.W5G36; (1 items out of 1 available)
"Mobiles, by William Bland",,NB1272 .B55 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1272.B55; (1 items out of 1 available)
"Super sculpture : using science, technology, and natural phenomena in sculpture [by] Diane B. Chichura and Thelma K. Stevens",NB1272.C49 ,NB1272 .C49 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1272.C49; (1 items out of 1 available)
"Kites; red line in the sky [Exhibition] April 30-May 28, 1972",NB1272 .S874 ,NB1272 .S874 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1272.S874; (1 items out of 1 available)
Conserving outdoor sculpture : the Stark collection at the Getty Center / Brian Considine ... [and others],,NB1278 .C66 2010 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1278 .C66 2010; (1 items out of 1 available)
The sculpture and sculptors of Yaz?l?kaya / Robert L. Alexander,NB1280.A44 1986 ,NB1280 .A44 1986 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1280.A44 1986; (1 items out of 1 available)
Relief sculpture / L. R. Rogers,NB1280.R63 ,NB1280 .R63 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1280.R63; (1 items out of 1 available)
Die Weihreliefs aus dem Athener Pankrates-Heiligtum am Ilissos : religiongeschichtliche Bedeutung und Typologie / Eugenia Vikela,NB1280 .V54 1994 ,NB1280 .V54 1994 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1280.V54 1994; (1 items out of 1 available)
Architektonik des plastischen / Paul Westheim,NB1280 .W478  and others,NB1280 .W478 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1280.W478; (1 items out of 1 available)
"Portals, pilgrimage, and crusade in western Tuscany / Dorothy F. Glass",,NB1282 .G58 1997 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1282.G58 1997; (1 items out of 1 available)
"Painting in pure color : modern art in Cleveland before the Armory Show (1908-1913) / Henry Adams, with a documentary chronology by Lawrence Waldman",ND230.O3 A33 2013 ,ND230.O3 A33 2013 ,"Physical version at KSL Special Collections Vault 2; Kelvin Smith Library; ND230.O3 A33 2013; (1 items out of 1 available)
Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND230.O3 A33 2013; (1 items out of 1 available)"
"Through ancient eyes : Egyptian portraiture : an exhibition organized for the Birmingham Museum of Art, Birmingham, Alabama, April 22-July 31, 1988 / by Donald Spanel",,NB1296.2 .S63 1988 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1296.2.S63 1988; (1 items out of 1 available)
"Portraits of the Vestal Virgins, priestesses of ancient Rome / Molly M. Lindner",,NB1296.3 .L56 2015 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1296.3 .L56 2015; (1 items out of 1 available)
Statues in Roman society : representation and response / Peter Stewart,,NB1296.3 .S74 2003 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1296.3 .S74 2003; (1 items out of 1 available)
Women and visual replication in Roman imperial art and culture / Jennifer Trimble,,NB1296.3 .T75 2011 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1296.3 .T75 2011; (1 items out of 1 available)
"Roman portraits : a loan exhibition of Roman sculpture and coins from the first century B.C. through the fourth century A.D. : April 6-May 14, 1961 / by Michael Milkovich",NB1295.3 .M55 1961 ,MLCM 87/7591 (N)  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1296.3.M55 1961; (1 items out of 1 available)
"Roman portrait sculpture, 217-260 A.D. : the transformation of an artistic tradition / by Susan Wood",,NB1296.3 .W66 1986 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1296.3.W66 1986; (1 items out of 1 available)
The Este monuments and urban development in Renaissance Ferrara / Charles M. Rosenberg,,NB1305.I8 R67 1997 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1305.I8R67 1997; (1 items out of 1 available)
Japanese portrait sculpture / Hisashi Mori ; translated and adapted by W. Chië Ishibashi,NB1305.J3M6713 1977 ,NB1305.J3 M6713 1977 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1305.J3M6713 1977; (0 items out of 1 available)
The Portrait bust; Renaissance to Enlightenment,NB1309.P6 ,NB1309 .P6 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1309.P6; (1 items out of 1 available)
Masks and magic / Olive L. Riley,NB1310.R5 1955 ,NB1310 .R5 1955 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1310.R5 1955; (1 items out of 1 available)
Masken [von] Rudolf Utzinger,NB1310.U7 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1310.U7; (1 items out of 1 available)
Die Erschaffung des Menschen auf den spätantiken Monumenten des 3. und 4. Jahrhunderts / von Helga Kaiser-Minn,NB1360 .K34 ,NB1360 .K34 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1360.K34; (1 items out of 1 available)
Classical Attic tombstones / Christoph W. Clairmont,NB1370 .C5 1993 ,NB1370 .C5 1993 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1370.C5 1993; (8 items out of 8 available)
Die attischen Grabreliefs des 5. und 4. Jahrhunderts volume Chr,NB1370.D5 1965 ,NB1370 .D5 1965 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1370.D5 1965; (1 items out of 1 available)
Die Reliefs des Heroon von Gjölbaschi-Trysa,NB1370.E434 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1370.E434; (1 items out of 1 available)
"Over den oorsprong van de grieksche grafstele, door dr Elise van Hall",NB1370.H3 1942 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1370.H3 1942; (1 items out of 1 available)
Die attischen Bildfeldstelen des 4. Jhs. volume Chours : Untersuchungen zu den kleiformatigen Grabreliefs im spätklassischen Athen / Andreas Scholl,,NB1370 .S3 1996 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1370.S3 1996; (1 items out of 1 available)
Le mausolée de Glanum (Saint-Rémy-de-Provence) [par] H. Rolland.  Relevés d'architecture et dessins de J. Bruchet,NB1380.R6 ,NB1380 .R6 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1380.R6; (1 items out of 1 available)
Monumental?nai?a? letopis? ?pokhi,NB1446.E424 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1446.E424; (1 items out of 1 available)
